ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,type
2019-11-09T00:00:00.000Z,2.3000903112625337E9,2.736536819315234E9,4.801360681120696E9,2.3000903112625337E9,2.3000903112625337E9,1.4465641966019812E9,1.4465641966019812E9,1.4465641966019812E9,1.4465641966019812E9,1.4465641966019812E9,1.4465641966019812E9,0.0,0.0,0.0,3.746654507864515E9,Forecast
2019-12-07T00:00:00.000Z,2.3445373176871214E9,2.393452653975637E9,4.342853524286912E9,2.3445373176871214E9,2.3445373176871214E9,9.767990632696974E8,9.767990632696974E8,9.767990632696974E8,9.767990632696974E8,9.767990632696974E8,9.767990632696974E8,0.0,0.0,0.0,3.3213363809568186E9,Forecast
2020-01-04T00:00:00.000Z,2.3889843241077943E9,1.8050753511223547E9,3.8811228601363087E9,2.3889843241077943E9,2.3889843241077943E9,4.4628717798152363E8,4.4628717798152363E8,4.4628717798152363E8,4.4628717798152363E8,4.4628717798152363E8,4.4628717798152363E8,0.0,0.0,0.0,2.835271502089318E9,Forecast
2020-02-01T00:00:00.000Z,2.4334313305087676E9,6.230853954448695E8,2.66083506624001E9,2.4334313305087676E9,2.4334313305087676E9,-8.444690410396472E8,-8.444690410396472E8,-8.444690410396472E8,-8.444690410396472E8,-8.444690410396472E8,-8.444690410396472E8,0.0,0.0,0.0,1.5889622894691205E9,Forecast
2020-02-29T00:00:00.000Z,2.477878336850642E9,7.220897758975376E8,2.784693779946077E9,2.477878336850642E9,2.477878336850642E9,-7.560692830019366E8,-7.560692830019366E8,-7.560692830019366E8,-7.560692830019366E8,-7.560692830019366E8,-7.560692830019366E8,0.0,0.0,0.0,1.7218090538487058E9,Forecast
2020-03-28T00:00:00.000Z,2.5223253432876434E9,1.1959114111409423E9,3.1959674691281047E9,2.5223253432876434E9,2.5223253432876434E9,-3.282725735586585E8,-3.282725735586585E8,-3.282725735586585E8,-3.282725735586585E8,-3.282725735586585E8,-3.282725735586585E8,0.0,0.0,0.0,2.194052769728985E9,Forecast
2020-04-25T00:00:00.000Z,2.566772349756353E9,4.254802530483555E8,2.354064631937159E9,2.566772349756353E9,2.566772349756353E9,-1.1480428336174147E9,-1.1480428336174147E9,-1.1480428336174147E9,-1.1480428336174147E9,-1.1480428336174147E9,-1.1480428336174147E9,0.0,0.0,0.0,1.4187295161389382E9,Forecast
2020-05-23T00:00:00.000Z,2.611219356239077E9,8.725990237747729E8,2.9244685246891994E9,2.611219356239077E9,2.611219356239077E9,-7.532085428989277E8,-7.532085428989277E8,-7.532085428989277E8,-7.532085428989277E8,-7.532085428989277E8,-7.532085428989277E8,0.0,0.0,0.0,1.8580108133401494E9,Forecast
2020-06-20T00:00:00.000Z,2.6556663627311153E9,8.749670550055472E8,3.002086989714093E9,2.6556663627311153E9,2.6556663627311153E9,-7.896704461706642E8,-7.896704461706642E8,-7.896704461706642E8,-7.896704461706642E8,-7.896704461706642E8,-7.896704461706642E8,0.0,0.0,0.0,1.865995916560451E9,Forecast
2020-07-18T00:00:00.000Z,2.700113369251093E9,1.0705859195993782E9,3.1529042838905897E9,2.700113369251093E9,2.700113369251093E9,-6.063876626104527E8,-6.063876626104527E8,-6.063876626104527E8,-6.063876626104527E8,-6.063876626104527E8,-6.063876626104527E8,0.0,0.0,0.0,2.0937257066406403E9,Forecast
2020-08-15T00:00:00.000Z,2.744560375775069E9,1.6591421186087582E9,3.6689074807779746E9,2.744560375775069E9,2.744560375775069E9,-3.197847802742696E7,-3.197847802742696E7,-3.197847802742696E7,-3.197847802742696E7,-3.197847802742696E7,-3.197847802742696E7,0.0,0.0,0.0,2.712581897747642E9,Forecast
2020-09-12T00:00:00.000Z,2.7890073823030434E9,2.3226707112415824E9,4.359221660541907E9,2.7890073823030434E9,2.7890073823030434E9,5.619848967868665E8,5.619848967868665E8,5.619848967868665E8,5.619848967868665E8,5.619848967868665E8,5.619848967868665E8,0.0,0.0,0.0,3.35099227908991E9,Forecast
2020-10-10T00:00:00.000Z,2.83345438896664E9,3.446878151065422E9,5.611783284017254E9,2.83345438896664E9,2.83345438896664E9,1.7606026157602034E9,1.7606026157602034E9,1.7606026157602034E9,1.7606026157602034E9,1.7606026157602034E9,1.7606026157602034E9,0.0,0.0,0.0,4.594057004726843E9,Forecast
2020-11-07T00:00:00.000Z,2.877901395613069E9,3.30849038969219E9,5.410274455720823E9,2.877901395613069E9,2.877901395613069E9,1.4469847775572274E9,1.4469847775572274E9,1.4469847775572274E9,1.4469847775572274E9,1.4469847775572274E9,1.4469847775572274E9,0.0,0.0,0.0,4.324886173170297E9,Forecast
2020-12-05T00:00:00.000Z,2.9223484022079897E9,2.933782623718081E9,4.908491365616668E9,2.9223484022079897E9,2.9223484022079897E9,1.0171310099865229E9,1.0171310099865229E9,1.0171310099865229E9,1.0171310099865229E9,1.0171310099865229E9,1.0171310099865229E9,0.0,0.0,0.0,3.9394794121945124E9,Forecast
2021-01-02T00:00:00.000Z,2.9667954087934947E9,2.411902561671689E9,4.382140635433909E9,2.9667954087934947E9,2.9667954087934947E9,4.7061383586489624E8,4.7061383586489624E8,4.7061383586489624E8,4.7061383586489624E8,4.7061383586489624E8,4.7061383586489624E8,0.0,0.0,0.0,3.437409244658391E9,Forecast
2021-01-30T00:00:00.000Z,3.011242415369582E9,1.2596492548195477E9,3.178337150540572E9,3.011242415369582E9,3.011242415369582E9,-7.954179180859649E8,-7.954179180859649E8,-7.954179180859649E8,-7.954179180859649E8,-7.954179180859649E8,-7.954179180859649E8,0.0,0.0,0.0,2.215824497283617E9,Forecast
2021-02-27T00:00:00.000Z,3.0556894220622845E9,1.1953344320265663E9,3.2778234057480154E9,3.0556894220622845E9,3.0556894220622845E9,-7.784166194186971E8,-7.784166194186971E8,-7.784166194186971E8,-7.784166194186971E8,-7.784166194186971E8,-7.784166194186971E8,0.0,0.0,0.0,2.277272802643587E9,Forecast
2021-03-27T00:00:00.000Z,3.10013642880207E9,1.7596371688648462E9,3.78814334455243E9,3.10013642880207E9,3.10013642880207E9,-3.3045507021848613E8,-3.3045507021848613E8,-3.3045507021848613E8,-3.3045507021848613E8,-3.3045507021848613E8,-3.3045507021848613E8,0.0,0.0,0.0,2.769681358583584E9,Forecast
2021-04-24T00:00:00.000Z,3.1445834355664935E9,9.759285926726601E8,3.069119334724224E9,3.1445834355664935E9,3.1445834355664935E9,-1.1287820250366418E9,-1.1287820250366418E9,-1.1287820250366418E9,-1.1287820250366418E9,-1.1287820250366418E9,-1.1287820250366418E9,0.0,0.0,0.0,2.0158014105298517E9,Forecast
2021-05-22T00:00:00.000Z,3.1890304423992443E9,1.5110351929313564E9,3.419826178218017E9,3.1890304423992443E9,3.1890304423992443E9,-7.44970631516463E8,-7.44970631516463E8,-7.44970631516463E8,-7.44970631516463E8,-7.44970631516463E8,-7.44970631516463E8,0.0,0.0,0.0,2.444059810882781E9,Forecast
2021-06-19T00:00:00.000Z,3.2334774493003216E9,1.430732832221665E9,3.3164879493204875E9,3.2334774493003216E9,3.2334774493003216E9,-8.302138800406395E8,-8.302138800406395E8,-8.302138800406395E8,-8.302138800406395E8,-8.302138800406395E8,-8.302138800406395E8,0.0,0.0,0.0,2.403263569259682E9,Forecast
2021-07-17T00:00:00.000Z,3.2779244561826E9,1.6288098755961976E9,3.653002725412127E9,3.2779244561826E9,3.2779244561826E9,-5.859144513717117E8,-5.859144513717117E8,-5.859144513717117E8,-5.859144513717117E8,-5.859144513717117E8,-5.859144513717117E8,0.0,0.0,0.0,2.6920100048108883E9,Forecast
